"","zip","city","state","latitude","longitude"
"175","00917","San Juan","PR",18.422263,-66.0513
"176","00918","San Juan","PR",18.417668,-66.06494
"177","00919","San Juan","PR",18.410462,-66.060533
"178","00920","San Juan","PR",18.41242,-66.09069
"179","00921","San Juan","PR",18.394019,-66.08633
"180","00922","San Juan","PR",18.410462,-66.060533
"181","00923","San Juan","PR",18.410681,-66.03806
"182","00924","San Juan","PR",18.401917,-66.01194
"183","00925","San Juan","PR",18.400006,-66.05028
"184","00926","San Juan","PR",18.361363,-66.0562
"185","00927","San Juan","PR",18.39184,-66.06867
"186","00928","San Juan","PR",18.410462,-66.060533
"187","00929","San Juan","PR",18.410462,-66.060533
"188","00930","San Juan","PR",18.410462,-66.060533
"189","00931","San Juan","PR",18.410462,-66.060533
"190","00933","San Juan","PR",18.410462,-66.060533
"191","00934","Fort Buchanan","PR",18.413511,-66.12198
"192","00935","San Juan","PR",18.410462,-66.060533
"193","00936","San Juan","PR",18.410462,-66.060533
"194","00937","San Juan","PR",18.410462,-66.060533
"195","00938","San Juan","PR",18.410462,-66.060533
"196","00939","San Juan","PR",18.410462,-66.060533
"197","00940","San Juan","PR",18.410462,-66.060533
"198","00949","Toa Baja","PR",18.433173,-66.2042
"199","00950","Toa Baja","PR",18.457761,-66.196503
"200","00951","Toa Baja","PR",18.457761,-66.196503
"201","00952","Sabana Seca","PR",18.429218,-66.18014
"202","00953","Toa Alta","PR",18.36802,-66.23414
"203","00954","Toa Alta","PR",18.358939,-66.258108
"204","00955","San Juan","PR",18.410462,-66.060533
"205","00956","Bayamon","PR",18.34216,-66.16643
"206","00957","Bayamon","PR",18.369674,-66.18669
"207","00958","Bayamon","PR",18.34487,-66.166014
"208","00959","Bayamon","PR",18.387063,-66.15943
"209","00960","Bayamon","PR",18.34487,-66.166014
"210","00961","Bayamon","PR",18.412462,-66.16033
"211","00962","Catano","PR",18.437683,-66.13847
"212","00963","Catano","PR",18.443217,-66.139293
"213","00965","Guaynabo","PR",18.431453,-66.11703
"214","00966","Guaynabo","PR",18.398507,-66.11522
"215","00968","Guaynabo","PR",18.408479,-66.1025
"216","00969","Guaynabo","PR",18.366981,-66.10889
"217","00970","Guaynabo","PR",18.359143,-66.112295
"218","00971","Guaynabo","PR",18.329688,-66.11876
"219","00975","San Juan","PR",18.410462,-66.060533
"220","00976","Trujillo Alto","PR",18.346767,-66.00561
"221","00977","Trujillo Alto","PR",18.337004,-65.990099
"222","00978","St Just","PR",18.337004,-65.990099
"223","00979","Carolina","PR",18.431885,-66.0127
"224","00981","Carolina","PR",18.410462,-66.060533
"225","00982","Carolina","PR",18.409345,-65.99313
"226","00983","Carolina","PR",18.414408,-65.97582
"227","00984","Carolina","PR",18.393355,-65.972495
"228","00985","Carolina","PR",18.374896,-65.94691
"229","00986","Carolina","PR",18.393355,-65.972495
